,date,reg,subject,period,macro_bhv,freq
181,2019-04-23,2,Locky,pregame,Individual,3
182,2019-04-23,2,Locky,pregame,Public,1
183,2019-04-23,2,Locky,pregame,Social,4
184,2019-04-23,2,Popo,pregame,Individual,5
185,2019-04-23,2,Popo,pregame,Social,1
186,2019-04-23,2,Storma,pregame,Individual,10
187,2019-04-23,2,Storma,pregame,Social,4
188,2019-04-24,1,Hadia,pregame,Individual,25
189,2019-04-24,1,Hadia,pregame,Ludic,4
190,2019-04-24,1,Hadia,pregame,Social,3
191,2019-04-24,1,Jawie,pregame,Individual,11
192,2019-04-24,1,Jawie,pregame,Social,6
193,2019-04-24,1,Karl,pregame,Individual,17
194,2019-04-24,1,Locky,pregame,Agonistic,2
195,2019-04-24,1,Locky,pregame,Individual,9
196,2019-04-24,1,Locky,pregame,Ludic,1
197,2019-04-24,1,Locky,pregame,Social,4
198,2019-04-24,1,Popo,pregame,Individual,18
199,2019-04-24,1,Popo,pregame,Ludic,13
200,2019-04-24,1,Storma,pregame,Agonistic,3
201,2019-04-24,1,Storma,pregame,Individual,12
202,2019-04-24,1,Storma,pregame,Ludic,4
203,2019-04-24,1,Storma,pregame,Social,8
204,2019-04-24,2,Locky,pregame,Individual,8
205,2019-04-24,2,Locky,pregame,Social,6
206,2019-04-25,1,Hadia,pregame,Individual,1
207,2019-04-25,1,Hadia,pregame,Ludic,1
208,2019-04-25,1,Hadia,pregame,Social-Ludic,3
209,2019-04-25,1,Jawie,pregame,Individual,8
210,2019-04-25,1,Jawie,pregame,Social,6
211,2019-04-25,1,Locky,pregame,Individual,8
212,2019-04-25,1,Locky,pregame,Social,8
213,2019-04-25,1,Popo,pregame,Individual,1
214,2019-04-25,1,Popo,pregame,Ludic,6
215,2019-04-25,1,Popo,pregame,Social,3
216,2019-04-25,1,Popo,pregame,Social-Ludic,3
217,2019-04-25,1,Storma,pregame,Individual,17
218,2019-04-25,1,Storma,pregame,Ludic,4
219,2019-04-25,1,Storma,pregame,Social,7
220,2019-04-25,1,Storma,pregame,Social-Ludic,1
221,2019-04-25,2,Hadia,pregame,Individual,12
222,2019-04-25,2,Hadia,pregame,Ludic,4
223,2019-04-25,2,Hadia,pregame,Social,3
224,2019-04-25,2,Jawie,pregame,Individual,7
225,2019-04-25,2,Jawie,pregame,Social,2
226,2019-04-25,2,Karl,pregame,Individual,3
227,2019-04-25,2,Locky,pregame,Individual,6
228,2019-04-25,2,Locky,pregame,Social,2
229,2019-04-25,2,Popo,pregame,Individual,11
230,2019-04-25,2,Popo,pregame,Ludic,2
231,2019-04-25,2,Popo,pregame,Social,2
232,2019-04-25,2,Popo,pregame,Social-Ludic,5
233,2019-04-25,2,Storma,pregame,Individual,38
234,2019-04-25,2,Storma,pregame,Social,4
235,2019-04-26,1,Hadia,pregame,Agonistic,1
236,2019-04-26,1,Hadia,pregame,Individual,5
237,2019-04-26,1,Hadia,pregame,Ludic,5
238,2019-04-26,1,Hadia,pregame,Social,11
239,2019-04-26,1,Jawie,pregame,Social,1
240,2019-04-26,1,Karl,pregame,Individual,7
241,2019-04-26,1,Locky,pregame,Individual,2
242,2019-04-26,1,Locky,pregame,Social,3
243,2019-04-26,1,Popo,pregame,Individual,8
244,2019-04-26,1,Popo,pregame,Social,10
245,2019-04-26,1,Storma,pregame,Individual,8
246,2019-04-26,1,Storma,pregame,Ludic,5
247,2019-04-26,1,Storma,pregame,Social,3
248,2019-04-26,1,Storma,pregame,Social-Ludic,7
249,2019-04-26,2,Hadia,pregame,Social,1
250,2019-04-26,2,Hadia,pregame,Social-Ludic,2
251,2019-04-26,2,Jawie,pregame,Individual,10
252,2019-04-26,2,Jawie,pregame,Social,6
253,2019-04-26,2,Karl,pregame,Individual,9
254,2019-04-26,2,Locky,pregame,Individual,8
255,2019-04-26,2,Locky,pregame,Social,11
256,2019-04-26,2,Popo,pregame,Individual,3
257,2019-04-26,2,Popo,pregame,Ludic,1
258,2019-04-26,2,Popo,pregame,Social,7
259,2019-04-26,2,Popo,pregame,Social-Ludic,3
260,2019-04-26,2,Storma,pregame,Individual,7
261,2019-04-26,2,Storma,pregame,Social,6
262,2019-04-29,1,Hadia,pregame,Individual,7
263,2019-04-29,1,Hadia,pregame,Social,9
264,2019-04-29,1,Jawie,pregame,Social,1
265,2019-04-29,1,Karl,pregame,Agonistic,1
266,2019-04-29,1,Karl,pregame,Individual,11
267,2019-04-29,1,Locky,pregame,Social,1
268,2019-04-29,1,Popo,pregame,Individual,3
269,2019-04-29,1,Popo,pregame,Social,4
270,2019-04-29,1,Storma,pregame,Individual,1
271,2019-04-29,2,Hadia,pregame,Individual,6
272,2019-04-29,2,Hadia,pregame,Social,8
273,2019-04-29,2,Jawie,pregame,Social,1
274,2019-04-29,2,Karl,pregame,Agonistic,1
275,2019-04-29,2,Karl,pregame,Individual,7
276,2019-04-29,2,Locky,pregame,Social,1
277,2019-04-29,2,Popo,pregame,Individual,15
278,2019-04-29,2,Popo,pregame,Ludic,6
279,2019-04-29,2,Popo,pregame,Social,5
280,2019-04-29,2,Storma,pregame,Social,1
281,2019-04-30,1,Hadia,pregame,Individual,8
282,2019-04-30,1,Hadia,pregame,Ludic,2
283,2019-04-30,1,Hadia,pregame,Social,9
284,2019-04-30,1,Hadia,pregame,Social-Ludic,1
285,2019-04-30,1,Jawie,pregame,Individual,11
286,2019-04-30,1,Jawie,pregame,Social,9
287,2019-04-30,1,Karl,pregame,Individual,6
288,2019-04-30,1,Locky,pregame,Individual,11
289,2019-04-30,1,Locky,pregame,Social,6
290,2019-04-30,1,Popo,pregame,Individual,11
291,2019-04-30,1,Popo,pregame,Ludic,3
292,2019-04-30,1,Popo,pregame,Social,4
293,2019-04-30,1,Popo,pregame,Social-Ludic,2
294,2019-04-30,1,Storma,pregame,Individual,25
295,2019-04-30,1,Storma,pregame,Ludic,2
296,2019-04-30,1,Storma,pregame,Social,16
297,2019-04-30,2,Hadia,pregame,Individual,8
298,2019-04-30,2,Hadia,pregame,Ludic,5
299,2019-04-30,2,Hadia,pregame,Social,14
300,2019-04-30,2,Hadia,pregame,Social-Ludic,1
301,2019-04-30,2,Jawie,pregame,Individual,3
302,2019-04-30,2,Jawie,pregame,Social,10
303,2019-04-30,2,Karl,pregame,Individual,12
304,2019-04-30,2,Locky,pregame,Individual,14
305,2019-04-30,2,Locky,pregame,Public,1
306,2019-04-30,2,Locky,pregame,Social,5
307,2019-04-30,2,Popo,pregame,Individual,4
308,2019-04-30,2,Popo,pregame,Social-Ludic,2
309,2019-04-30,2,Storma,pregame,Individual,31
310,2019-04-30,2,Storma,pregame,Social,11
311,2019-05-01,1,Hadia,pregame,Individual,23
312,2019-05-01,1,Hadia,pregame,Ludic,5
313,2019-05-01,1,Hadia,pregame,Social,3
314,2019-05-01,1,Hadia,pregame,Social-Ludic,2
315,2019-05-01,1,Jawie,pregame,Agonistic,1
316,2019-05-01,1,Jawie,pregame,Individual,2
317,2019-05-01,1,Jawie,pregame,Social,10
318,2019-05-01,1,Karl,pregame,Individual,11
319,2019-05-01,1,Locky,pregame,Agonistic,1
320,2019-05-01,1,Locky,pregame,Individual,9
321,2019-05-01,1,Locky,pregame,Social,8
322,2019-05-01,1,Popo,pregame,Individual,20
323,2019-05-01,1,Popo,pregame,Ludic,2
324,2019-05-01,1,Popo,pregame,Social,3
325,2019-05-01,1,Popo,pregame,Social-Ludic,1
326,2019-05-01,1,Storma,pregame,Individual,21
327,2019-05-01,1,Storma,pregame,Ludic,1
328,2019-05-01,1,Storma,pregame,Social,3
329,2019-05-01,1,Storma,pregame,Social-Ludic,5
330,2019-05-01,2,Hadia,pregame,Individual,18
331,2019-05-01,2,Hadia,pregame,Social,1
332,2019-05-01,2,Jawie,pregame,Individual,7
333,2019-05-01,2,Jawie,pregame,Social,12
334,2019-05-01,2,Karl,pregame,Individual,5
335,2019-05-01,2,Locky,pregame,Individual,5
336,2019-05-01,2,Locky,pregame,Social,7
337,2019-05-01,2,Popo,pregame,Individual,15
338,2019-05-01,2,Popo,pregame,Ludic,3
339,2019-05-01,2,Popo,pregame,Social,5
340,2019-05-01,2,Popo,pregame,Social-Ludic,1
341,2019-05-01,2,Storma,pregame,Individual,12
342,2019-05-01,2,Storma,pregame,Social,5
343,2019-05-03,1,Hadia,pregame,Social,1
344,2019-05-03,1,Jawie,pregame,Social,1
345,2019-05-03,1,Karl,pregame,Individual,2
346,2019-05-03,1,Karl,pregame,Public,1
347,2019-05-03,1,Locky,pregame,Social,10
348,2019-05-03,1,Popo,pregame,Individual,1
349,2019-05-03,1,Popo,pregame,Social,3
350,2019-05-03,1,Storma,pregame,Individual,1
351,2019-05-03,2,Hadia,pregame,Individual,6
352,2019-05-03,2,Hadia,pregame,Ludic,4
353,2019-05-03,2,Hadia,pregame,Social,5
354,2019-05-03,2,Jawie,pregame,Agonistic,1
355,2019-05-03,2,Jawie,pregame,Individual,3
356,2019-05-03,2,Jawie,pregame,Social,1
357,2019-05-03,2,Karl,pregame,Individual,2
358,2019-05-03,2,Locky,pregame,Agonistic,2
359,2019-05-03,2,Locky,pregame,Individual,12
360,2019-05-03,2,Locky,pregame,Public,2
361,2019-05-03,2,Locky,pregame,Social,6
362,2019-05-03,2,Popo,pregame,Individual,10
363,2019-05-03,2,Popo,pregame,Ludic,8
364,2019-05-03,2,Popo,pregame,Social,13
365,2019-05-03,2,Storma,pregame,Individual,7
366,2019-05-03,2,Storma,pregame,Ludic,2
367,2019-05-03,2,Storma,pregame,Social,8
368,2019-05-06,1,Hadia,pregame,Social,1
369,2019-05-06,1,Jawie,pregame,Individual,3
370,2019-05-06,1,Karl,pregame,Individual,12
371,2019-05-06,1,Locky,pregame,Individual,14
372,2019-05-06,1,Locky,pregame,Public,4
373,2019-05-06,1,Popo,pregame,Individual,1
374,2019-05-06,1,Popo,pregame,Sexual,6
375,2019-05-06,1,Popo,pregame,Social,8
376,2019-05-06,1,Storma,pregame,Individual,29
377,2019-05-06,1,Storma,pregame,Social,12
378,2019-05-06,1,Storma,pregame,Social-Ludic,2
379,2019-05-06,2,Hadia,pregame,Individual,4
380,2019-05-06,2,Hadia,pregame,Ludic,3
381,2019-05-06,2,Hadia,pregame,Social,5
382,2019-05-06,2,Hadia,pregame,Social-Ludic,1
383,2019-05-06,2,Jawie,pregame,Individual,9
384,2019-05-06,2,Jawie,pregame,Social,12
385,2019-05-06,2,Karl,pregame,Agonistic,2
386,2019-05-06,2,Karl,pregame,Individual,15
387,2019-05-06,2,Locky,pregame,Individual,15
388,2019-05-06,2,Locky,pregame,Social,10
389,2019-05-06,2,Popo,pregame,Individual,6
390,2019-05-06,2,Popo,pregame,Ludic,3
391,2019-05-06,2,Popo,pregame,Social,3
392,2019-05-06,2,Popo,pregame,Social-Ludic,1
393,2019-05-06,2,Storma,pregame,Individual,14
394,2019-05-06,2,Storma,pregame,Social,3
395,2019-05-07,1,Karl,pregame,Individual,1
396,2019-05-07,2,Hadia,pregame,Individual,18
397,2019-05-07,2,Hadia,pregame,Ludic,8
398,2019-05-07,2,Jawie,pregame,Individual,10
399,2019-05-07,2,Jawie,pregame,Social,3
400,2019-05-07,2,Karl,pregame,Agonistic,1
401,2019-05-07,2,Karl,pregame,Individual,6
402,2019-05-07,2,Popo,pregame,Individual,6
403,2019-05-07,2,Popo,pregame,Ludic,7
404,2019-05-07,2,Popo,pregame,Social,3
405,2019-05-07,2,Storma,pregame,Agonistic,1
406,2019-05-07,2,Storma,pregame,Individual,28
407,2019-05-07,2,Storma,pregame,Social,4
408,2019-05-20,1,Hadia,game,Individual,10
409,2019-05-20,1,Hadia,game,Ludic,2
410,2019-05-20,1,Hadia,game,Social,7
411,2019-05-20,1,Jawie,game,Social,3
412,2019-05-20,1,Karl,game,Individual,15
413,2019-05-20,1,Locky,game,Individual,8
414,2019-05-20,1,Locky,game,Public,1
415,2019-05-20,1,Popo,game,Individual,12
416,2019-05-20,1,Popo,game,Ludic,14
417,2019-05-20,1,Popo,game,Social,2
418,2019-05-20,1,Storma,game,Individual,13
419,2019-05-20,2,Hadia,game,Individual,9
420,2019-05-20,2,Hadia,game,Public,2
421,2019-05-20,2,Hadia,game,Social,6
422,2019-05-20,2,Hadia,game,Social-Ludic,1
423,2019-05-20,2,Jawie,game,Individual,15
424,2019-05-20,2,Jawie,game,Social,5
425,2019-05-20,2,Karl,game,Individual,9
426,2019-05-20,2,Locky,game,Individual,12
427,2019-05-20,2,Locky,game,Public,1
428,2019-05-20,2,Locky,game,Social,1
429,2019-05-20,2,Popo,game,Individual,16
430,2019-05-20,2,Popo,game,Ludic,5
431,2019-05-20,2,Popo,game,Social,1
432,2019-05-20,2,Storma,game,Individual,6
433,2019-05-20,2,Storma,game,Ludic,2
434,2019-05-20,2,Storma,game,Social,20
435,2019-05-20,2,Storma,game,Social-Ludic,1
436,2019-05-22,1,Hadia,game,Individual,1
437,2019-05-22,1,Hadia,game,Social,9
438,2019-05-22,1,Jawie,game,Agonistic,1
439,2019-05-22,1,Jawie,game,Individual,11
440,2019-05-22,1,Jawie,game,Ludic,2
441,2019-05-22,1,Jawie,game,Social,1
442,2019-05-22,1,Karl,game,Individual,5
443,2019-05-22,1,Locky,game,Individual,1
444,2019-05-22,1,Locky,game,Ludic,4
445,2019-05-22,1,Locky,game,Public,2
446,2019-05-22,1,Locky,game,Social,6
447,2019-05-22,1,Popo,game,Individual,10
448,2019-05-22,1,Popo,game,Ludic,8
449,2019-05-22,1,Popo,game,Social,8
450,2019-05-22,1,Popo,game,Social-Ludic,2
451,2019-05-22,1,Storma,game,Individual,16
452,2019-05-22,1,Storma,game,Social,4
453,2019-05-22,2,Hadia,game,Individual,1
454,2019-05-22,2,Hadia,game,Ludic,4
455,2019-05-22,2,Hadia,game,Social-Ludic,4
456,2019-05-22,2,Jawie,game,Individual,6
457,2019-05-22,2,Karl,game,Individual,2
458,2019-05-22,2,Locky,game,Agonistic,1
459,2019-05-22,2,Locky,game,Individual,18
460,2019-05-22,2,Locky,game,Public,4
461,2019-05-22,2,Locky,game,Social,2
462,2019-05-22,2,Popo,game,Individual,7
463,2019-05-22,2,Popo,game,Ludic,3
464,2019-05-22,2,Popo,game,Social,4
465,2019-05-22,2,Popo,game,Social-Ludic,6
466,2019-05-22,2,Storma,game,Individual,19
467,2019-05-22,2,Storma,game,Ludic,2
468,2019-05-22,2,Storma,game,Social-Ludic,1
469,2019-05-23,1,Hadia,game,Individual,12
470,2019-05-23,1,Hadia,game,Ludic,2
471,2019-05-23,1,Hadia,game,Social,6
472,2019-05-23,1,Hadia,game,Social-Ludic,1
473,2019-05-23,1,Jawie,game,Individual,4
474,2019-05-23,1,Jawie,game,Social,5
475,2019-05-23,1,Karl,game,Individual,8
476,2019-05-23,1,Locky,game,Individual,16
477,2019-05-23,1,Locky,game,Social,4
478,2019-05-23,1,Popo,game,Individual,9
479,2019-05-23,1,Popo,game,Ludic,5
480,2019-05-23,1,Popo,game,Social,5
481,2019-05-23,1,Popo,game,Social-Ludic,1
482,2019-05-23,1,Storma,game,Individual,16
483,2019-05-23,1,Storma,game,Ludic,1
484,2019-05-23,1,Storma,game,Social,17
