,date,subject,period,reg,behavior,receptor,duration,bhv_category,macro_bhv,rel_duration
187,2019-04-26,Karl,pregame,2,sen,[],10.0,resting,Individual,0.016666666666666666
188,2019-04-26,Karl,pregame,2,cam,[],49.0,moving,Individual,0.08166666666666667
189,2019-04-26,Karl,pregame,2,sen,[],365.0,resting,Individual,0.6083333333333333
190,2019-04-29,Karl,pregame,1,tum,[],2.0,resting,Individual,0.0032258064516129032
191,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008064516129032258
192,2019-04-29,Karl,pregame,1,tum,[],53.0,resting,Individual,0.08548387096774193
193,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008064516129032258
194,2019-04-29,Karl,pregame,1,tum,[],234.0,resting,Individual,0.3774193548387097
195,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008064516129032258
196,2019-04-29,Karl,pregame,1,tum,[],163.0,resting,Individual,0.2629032258064516
197,2019-04-29,Karl,pregame,1,con,['Gibon'],23.0,agonistic,Agonistic,0.037096774193548385
198,2019-04-29,Karl,pregame,1,sen,[],35.0,resting,Individual,0.056451612903225805
199,2019-04-29,Karl,pregame,1,tum,[],55.0,resting,Individual,0.08870967741935484
200,2019-04-29,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008064516129032258
201,2019-04-29,Karl,pregame,1,tum,[],35.0,resting,Individual,0.056451612903225805
202,2019-04-29,Karl,pregame,2,tum,[],380.0,resting,Individual,0.6333333333333333
203,2019-04-29,Karl,pregame,2,sen,[],2.0,resting,Individual,0.0033333333333333335
204,2019-04-29,Karl,pregame,2,ras,[],4.0,grooming,Individual,0.006666666666666667
205,2019-04-29,Karl,pregame,2,sen,[],66.0,resting,Individual,0.11
206,2019-04-29,Karl,pregame,2,con,['Gibon'],8.0,agonistic,Agonistic,0.013333333333333334
207,2019-04-29,Karl,pregame,2,sen,[],134.0,resting,Individual,0.22333333333333333
208,2019-04-29,Karl,pregame,2,ras,[],4.0,grooming,Individual,0.006666666666666667
209,2019-04-29,Karl,pregame,2,sen,[],2.0,resting,Individual,0.0033333333333333335
210,2019-04-30,Karl,pregame,1,tum,[],493.0,resting,Individual,0.8230383973288815
211,2019-04-30,Karl,pregame,1,cam,[],14.0,moving,Individual,0.02337228714524207
212,2019-04-30,Karl,pregame,1,sen,[],7.0,resting,Individual,0.011686143572621035
213,2019-04-30,Karl,pregame,1,cam,[],2.0,moving,Individual,0.00333889816360601
214,2019-04-30,Karl,pregame,1,sen,[],43.0,resting,Individual,0.07178631051752922
215,2019-04-30,Karl,pregame,1,cam,[],7.0,moving,Individual,0.011686143572621035
216,2019-04-30,Karl,pregame,1,cuad,[],33.0,,,0.05509181969949917
217,2019-04-30,Karl,pregame,2,tum,[],13.0,resting,Individual,0.021487603305785124
218,2019-04-30,Karl,pregame,2,ras,[],3.0,grooming,Individual,0.0049586776859504135
219,2019-04-30,Karl,pregame,2,tum,[],55.0,resting,Individual,0.09090909090909091
220,2019-04-30,Karl,pregame,2,ras,[],5.0,grooming,Individual,0.008264462809917356
221,2019-04-30,Karl,pregame,2,tum,[],24.0,resting,Individual,0.03966942148760331
222,2019-04-30,Karl,pregame,2,cam,[],10.0,moving,Individual,0.01652892561983471
223,2019-04-30,Karl,pregame,2,sen,[],19.0,resting,Individual,0.03140495867768595
224,2019-04-30,Karl,pregame,2,cam,[],8.0,moving,Individual,0.013223140495867768
225,2019-04-30,Karl,pregame,2,sen,[],69.0,resting,Individual,0.1140495867768595
226,2019-04-30,Karl,pregame,2,cam,[],45.0,moving,Individual,0.0743801652892562
227,2019-04-30,Karl,pregame,2,forr,[],230.0,feeding,Individual,0.38016528925619836
228,2019-04-30,Karl,pregame,2,alim,[],124.0,feeding,Individual,0.2049586776859504
229,2019-05-01,Karl,pregame,1,tum,[],281.0,resting,Individual,0.4554294975688817
230,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008103727714748784
231,2019-05-01,Karl,pregame,1,tum,[],90.0,resting,Individual,0.1458670988654781
232,2019-05-01,Karl,pregame,1,ras,[],3.0,grooming,Individual,0.004862236628849271
233,2019-05-01,Karl,pregame,1,tum,[],66.0,resting,Individual,0.10696920583468396
234,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008103727714748784
235,2019-05-01,Karl,pregame,1,tum,[],61.0,resting,Individual,0.09886547811993517
236,2019-05-01,Karl,pregame,1,ras,[],10.0,grooming,Individual,0.01620745542949757
237,2019-05-01,Karl,pregame,1,tum,[],59.0,resting,Individual,0.09562398703403566
238,2019-05-01,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.008103727714748784
239,2019-05-01,Karl,pregame,1,tum,[],32.0,resting,Individual,0.05186385737439222
240,2019-05-01,Karl,pregame,2,tum,[],306.0,resting,Individual,0.51
241,2019-05-01,Karl,pregame,2,cam,[],4.0,moving,Individual,0.006666666666666667
242,2019-05-01,Karl,pregame,2,sen,[],51.0,resting,Individual,0.085
243,2019-05-01,Karl,pregame,2,cam,[],6.0,moving,Individual,0.01
244,2019-05-01,Karl,pregame,2,tum,[],233.0,resting,Individual,0.3883333333333333
245,2019-05-03,Karl,pregame,1,sen,[],212.0,resting,Individual,0.35333333333333333
246,2019-05-03,Karl,pregame,1,pub,[],4.0,interacting with public,Public,0.006666666666666667
247,2019-05-03,Karl,pregame,1,sen,[],384.0,resting,Individual,0.64
248,2019-05-03,Karl,pregame,2,tum,[],557.0,resting,Individual,0.9283333333333333
249,2019-05-03,Karl,pregame,2,sen,[],43.0,resting,Individual,0.07166666666666667
250,2019-05-06,Karl,pregame,1,tum,[],111.0,resting,Individual,0.185
251,2019-05-06,Karl,pregame,1,cam,[],67.0,moving,Individual,0.11166666666666666
252,2019-05-06,Karl,pregame,1,sen,[],40.0,resting,Individual,0.06666666666666667
253,2019-05-06,Karl,pregame,1,cam,[],9.0,moving,Individual,0.015
254,2019-05-06,Karl,pregame,1,alim,[],41.0,feeding,Individual,0.06833333333333333
255,2019-05-06,Karl,pregame,1,cam,[],11.0,moving,Individual,0.018333333333333333
256,2019-05-06,Karl,pregame,1,forr,[],6.0,feeding,Individual,0.01
257,2019-05-06,Karl,pregame,1,cam,[],19.0,moving,Individual,0.03166666666666667
258,2019-05-06,Karl,pregame,1,alim,[],33.0,feeding,Individual,0.055
259,2019-05-06,Karl,pregame,1,cam,[],26.0,moving,Individual,0.043333333333333335
260,2019-05-06,Karl,pregame,1,tum,[],60.0,resting,Individual,0.1
261,2019-05-06,Karl,pregame,1,sen,[],177.0,resting,Individual,0.295
262,2019-05-06,Karl,pregame,2,sen,[],35.0,resting,Individual,0.057755775577557754
263,2019-05-06,Karl,pregame,2,cam,[],10.0,moving,Individual,0.0165016501650165
264,2019-05-06,Karl,pregame,2,alim,[],22.0,feeding,Individual,0.036303630363036306
265,2019-05-06,Karl,pregame,2,marc,['Gibon'],5.0,agonistic,Agonistic,0.00825082508250825
266,2019-05-06,Karl,pregame,2,alim,[],30.0,feeding,Individual,0.04950495049504951
267,2019-05-06,Karl,pregame,2,cam,[],15.0,moving,Individual,0.024752475247524754
268,2019-05-06,Karl,pregame,2,alim,[],103.0,feeding,Individual,0.16996699669966997
269,2019-05-06,Karl,pregame,2,corr,[],4.0,moving,Individual,0.006600660066006601
270,2019-05-06,Karl,pregame,2,alim,[],86.0,feeding,Individual,0.1419141914191419
271,2019-05-06,Karl,pregame,2,con,['Hadia'],4.0,agonistic,Agonistic,0.006600660066006601
272,2019-05-06,Karl,pregame,2,alim,[],7.0,feeding,Individual,0.01155115511551155
273,2019-05-06,Karl,pregame,2,cam,[],51.0,moving,Individual,0.08415841584158416
274,2019-05-06,Karl,pregame,2,alim,[],69.0,feeding,Individual,0.11386138613861387
275,2019-05-06,Karl,pregame,2,cam,[],7.0,moving,Individual,0.01155115511551155
276,2019-05-06,Karl,pregame,2,alim,[],120.0,feeding,Individual,0.19801980198019803
277,2019-05-06,Karl,pregame,2,cam,[],5.0,moving,Individual,0.00825082508250825
278,2019-05-06,Karl,pregame,2,alim,[],33.0,feeding,Individual,0.054455445544554455
279,2019-05-07,Karl,pregame,1,tum,[],600.0,resting,Individual,1.0
